Plan,Frequency,What's Included,Open Gym,Body Comp Scan,Community Events
Standard,3 classes per week,"Strength & Conditioning, Olympic Weightlifting, HYROX",No,Yes (monthly),Yes
Unlimited + Open Gym (Most Popular),Unlimited classes,"Strength & Conditioning, Olympic Weightlifting, HYROX, Private Gym Access",Yes — 24/7,Yes (monthly),Yes
Personal Training,Custom schedule,"1-on-1 coaching, customized programming, individual accountability, nutrition guidance",No,Yes (monthly),Yes
Open Gym Only,Self-directed,"Access to all programming (S&C, Weightlifting, HYROX)",Yes — 24/7,No,No
Day Pass,Single visit,Any one class for $25. Credited toward first month if you join.,No,No,No
Military & First Responder,Ask for details,Special pricing available. As a veteran-owned gym we proudly support those who serve.,Ask for details,Ask for details,Ask for details
